id,code,name,user_type_id/id,tax_ids/id,currency_id/id,reconcile,deprecated
__setup__.account_account_meteotest_3807,3807,Frais d'expédition,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3900,3900,Bestandesänderungen unfertige Erzeugnisse,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3901,3901,Bestandesänderungen fertige Erzeugnisse,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3940,3940,Bestandesänderungen nicht fakturierte Dienstleistungen,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_4000,4000,Materialaufwand Produktion,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4008,4008,Variations de stocks,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4009,4009,Déductions obtenues sur achats,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4070,4070,Frêts à l'achat,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4071,4071,Droits de douanes à l'importation,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4072,4072,Frais de transport à l'achat,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4080,4080,Variations de stocks,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4086,4086,Pertes de matières,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4200,4200,Handelswarenaufwand,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4400,4400,Aufwand für bezogene Dienstleistungen,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4415,4415,"Einkauf Material, Daten und DL",account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4419,4419,Direkt verrechenbarer Aufwand,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4500,4500,Strom,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4510,4510,Gaz,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4520,4520,Heizöl,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4521,4521,"Charbon, briquettes, bois",account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4530,4530,Benzin,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4540,4540,Wasser,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4800,4800,Variation des stocks de marchandises,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4801,4801,Variation des stocks de matières premières,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4900,4900,Escomptes,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4901,4901,Rabais et réductions de prix,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4902,4902,Ristournes,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4903,4903,Commissions obtenues sur achats,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_4906,4906,Différences de change,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_5000,5000,Lohnaufwand,account.data_account_type_expenses,,,False,False
__setup__.account_account_meteotest_5400,5400,Löhne,account.data_account_type_expenses,,,False,False
